pid,role,iso2,name,af_ids
540,player,gb-sct,Anthony Ralston,1115
541,player,gb-sct,Nathan Patterson,138417
542,player,gb-sct,John Souttar,44865
543,player,gb-sct,Aaron Hickey,44871
544,player,gb-sct,Lawrence Shankland,45175
545,player,gb-sct,Ben Gannon-Doak,343576
546,player,gb-sct,Dominic Hyam,19987
547,player,gb-sct,Liam Kelly,44937
548,player,gb-sct,Ross Stewart,45078
549,player,gb-sct,Findlay Curtis,433272
550,coach,gb-sct,Steve Clarke,76
551,player,au,Mathew Ryan,2741
552,player,au,Aziz Behich,225
553,player,au,Jackson Irvine,2749
554,player,au,Mathew Leckie,2751
555,player,au,Ajdin Hrustic,38123
556,player,au,Connor Metcalfe,6904
557,player,au,Aiden O'Neill,7050
558,player,au,Jordan Bos,337587
559,player,au,Jason Geria,33847
560,player,au,Nishan Velupillay,312459
561,player,au,Kai Trewin,153622
562,player,au,Jacob Italiano,6808
563,player,au,Cammy Devlin,6832
564,player,au,Paul Izzo,6870
565,player,au,Lucas Herrington,426480
566,player,au,Patrick Beach,353883
567,player,au,Cristian Volpato,342035
568,player,au,Tete Yengi,296645
569,coach,au,Tony Popovic,151
570,player,py,Gustavo Gómez,2502
571,player,py,Miguel Almirón,2507
572,player,py,Júnior Alonso,2499
573,player,py,Fabián Balbuena,2500
574,player,py,Antonio Sanabria,2522
575,player,py,Omar Alderete,6168
576,player,py,Julio Enciso,70747
577,player,py,Gatito Fernández,535737
578,player,py,Ramón Sosa,196298
579,player,py,Diego Gómez,278370
580,player,py,Gabriel Ávalos,6483
581,player,py,Damián Bobadilla,195107
582,player,py,Braian Ojeda,70767
583,player,py,Álex Arce,95460
584,player,py,Matías Galarza,305832
585,player,py,Gustavo Velázquez,35808
586,player,py,Orlando Gill,70852
587,player,py,Isidro Pitta,70670
588,player,py,José Canale,70732
589,player,py,Gustavo Caballero,119128
590,player,py,Alexandro Maidana,425020
591,player,tr,Merih Demiral,30521
592,player,tr,Zeki Çelik,22222
593,player,tr,Çağlar Söyüncü,18776
594,player,tr,Kerem Aktürkoğlu,142959
595,player,tr,İrfan Can Kahveci,49857
596,player,tr,Uğurcan Çakır,49866
597,player,tr,Mert Günok,49837
598,player,tr,Barış Alper Yılmaz,63274
599,player,tr,İsmail Yüksek,214463
600,player,tr,Ozan Kabak,26300
601,player,tr,Arda Güler,291964
602,player,tr,Abdülkerim Bardakcı,61837
603,player,tr,Eren Elmalı,50057
604,player,tr,Yunus Akgün,454
605,player,tr,Samet Akaydin,62490
606,player,tr,Altay Bayındır,50132
607,player,us,Christian Pulisic,17
608,player,us,Tim Ream,19023
609,player,us,Weston McKennie,415
610,player,us,Brenden Aaronson,50739
611,player,us,Matt Turner,50999
612,player,us,Tyler Adams,1150
613,player,us,Timothy Weah,1138
614,player,us,Cristian Roldan,51114
615,player,us,Miles Robinson,50879
616,player,us,Ricardo Pepi,73868
617,player,us,Chris Richards,126949
618,player,us,Mark McKenzie,50735
619,player,us,Folarin Balogun,138835
620,player,us,Joe Scally,50852
621,player,us,Max Arfsten,362400
622,player,us,Haji Wright,427
623,player,us,Alex Freeman,355994
624,player,us,Matt Freese,50728
625,player,us,Auston Trusty,50737
626,player,us,Chris Brady,266606
627,player,cw,Tahith Chong,906
628,player,ec,Enner Valencia,35533
629,player,ec,Moisés Caicedo,116117
630,player,ec,Alan Franco,16360
631,player,ec,Ángelo Preciado,2583
632,player,ec,Pervis Estupiñán,46731
633,player,ec,Piero Hincapié,127817
634,player,ec,Gonzalo Plata,16369
635,player,ec,Félix Torres,63964
636,player,ec,Willian Pacho,16367
637,player,ec,Kevin Rodríguez,361966
638,player,ec,Kendry Páez,406303
639,player,ec,Alan Minda,280695
640,player,ec,Jordy Caicedo,16590
641,player,ec,Joel Ordóñez,354027
642,player,ec,Pedro Vite,237078
643,player,ec,Nilson Angulo,311543
644,player,ec,Jordy Alcívar,16470
645,player,ec,Jackson Porozo,2575
646,player,ec,Moisés Ramírez,81224
647,player,ec,Yaimar Medina,306940
648,player,ec,Denil Castillo,338045
649,player,ec,Gonzalo Valle,16642
650,player,ec,Anthony Valencia,198347
651,player,de,Manuel Neuer,497
652,player,de,Joshua Kimmich,502
653,player,de,Antonio Rüdiger,2285
654,player,de,Leroy Sané,644
655,player,de,Leon Goretzka,511
656,player,de,Kai Havertz,978
657,player,de,Jonathan Tah,972
658,player,de,Jamal Musiala,181812
659,player,de,Florian Wirtz,203224
660,player,de,David Raum,25158
661,player,de,Nico Schlotterbeck,26243
662,player,de,Pascal Groß,18970
663,player,de,Oliver Baumann,702
664,player,de,Aleksandar Pavlović,328033
665,player,de,Nick Woltemade,158054
666,player,de,Nadiem Amiri,714
667,player,de,Maximilian Beier,158644
668,player,de,Deniz Undav,26475
669,player,de,Angelo Stiller,137210
670,player,de,Felix Nmecha,637
671,player,de,Jamie Leweling,128533
672,player,de,Nathaniel Brown,280074
673,player,de,Malick Thiaw,163189
674,player,de,Alexander Nübel,399
675,player,de,Assan Ouédraogo,380978
676,coach,de,Julian Nagelsmann,1545
677,player,ci,Franck Kessié,1642
678,player,ci,Jean Michaël Seri,3243
679,player,ci,Ibrahim Sangaré,22149
680,player,ci,Ghislain Konan,22002
681,player,ci,Odilon Kossounou,48119
682,player,ci,Wilfried Singo,30504
683,player,ci,Oumar Diakité,334429
684,player,ci,Simon Adingra,301771
685,player,ci,Emmanuel Agbadou,135068
686,player,ci,Amad Diallo,157997
687,player,ci,Ousmane Diomande,354753
688,player,ci,Christopher Opéri,20836
689,player,ci,Yan Diomande,513776
690,player,ci,Christ Inao Oulaï,474591
691,player,ci,Bazoumana Touré,387643
692,player,ci,Parfait Guiagon,263228
693,player,ci,Mohamed Koné,277046
694,player,jp,Yūto Nagatomo,440
695,player,jp,Junya Itō,1942
696,player,jp,Ritsu Dōan,2598
697,player,jp,Takefusa Kubo,32862
698,player,jp,Daichi Kamada,2601
699,player,jp,Takehiro Tomiyasu,2597
700,player,jp,Kō Itakura,38114
701,player,jp,Ayase Ueda,72155
702,player,jp,Shōgo Taniguchi,32954
703,player,jp,Ao Tanaka,32966
704,player,jp,Daizen Maeda,33224
705,player,jp,Keito Nakamura,33321
706,player,jp,Hiroki Itō,32893
707,player,jp,Yukinari Sugawara,32887
708,player,jp,Kōki Ogawa,33289
709,player,jp,Shūto Machino,106851
710,player,jp,Ayumu Seko,33165
711,player,jp,Kaishū Sano,33889
712,player,jp,Keisuke Ōsako,33034
713,player,jp,Tsuyoshi Watanabe,32858
714,player,jp,Yuito Suzuki,199143
715,player,jp,Junnosuke Suzuki,351014
