lat,lon,population
40.17417,44.54083,13900
40.19917,44.47056,122800
40.1778,45.69137,1234
40.22,44.53833,75500
40.00041,44.66482,1250
40.10307,43.81506,1234
40.17244,44.02979,1379
40.18742,43.97718,1864
40.05941,43.90725,1458
40.17396,44.4457,150500
40.17806,44.51303,133000
40.213,43.77033,1132
40.14172,43.9751,1814
40.09729,43.95569,1633
40.1557,44.4779,140600
40.36394,43.81025,226
40.06952,44.00568,1663
40.14172,44.03332,2466
40.08738,44.23995,1726
41.1619,44.36979,1049
40.08298,44.05777,3428
40.20624,44.50365,119300
-9.66078,20.39155,393000
-8.41915,20.74466,110000
-7.36643,20.81557,177604
-7.3,20.73333,246880
-7.48367,21.30339,20000
-10.59236,21.31805,8000
-15.79347,20.36374,10000
-11.55768,20.78096,4972
-14.10165,21.43531,19000
-10.70727,22.22466,55432
-11.65753,20.44772,5168
-17.5,22.66667,12000
-11.69055,20.83922,14138
-11.03333,20.2,7514
-11.89914,22.90216,34000
-11.06715,20.70148,4764
-11.4361,20.16459,12930
-7.83837,14.06028,12313
-8.38549,15.30126,60000
-8.90553,13.37499,865863
-7.60874,15.06131,322531
-8.65157,14.15653,41654
-6.80517,13.33017,20358
-8.17968,13.35709,13016
-6.1349,12.36894,221555
-7.35207,14.84629,31382
-7.31473,16.0024,23000
-7.98559,14.4198,14531
-8.18193,14.45127,13761
-8.30899,13.83204,10852
-8.50055,14.58589,8268
-8.50671,14.94982,5635
-7.69468,15.65416,7598
-8.53412,14.43555,26265
-8.71311,14.46292,16080
-7.228,12.86956,28840
-7.75938,15.2722,92950
-9.29782,14.91162,161584
-9.51994,13.95805,8166
-8.12307,14.28838,21052
-10.5143,16.0199,33558
-6.26667,14.23833,148000
-6.05716,15.10971,42000
-9.54015,16.34096,455000
-8.84693,13.23698,727681
-8.52432,13.68622,16981
-9.27268,15.25206,19422
-9.15445,19.28136,26103
-8.83682,13.23432,2776168
-8.90769,17.05339,15965
-8.94432,13.16431,191828
-8.12439,14.29081,19209
-9.13333,14.76667,19992
-9.68456,14.42788,64643
-9.05,15.31667,64643
-6.67868,15.13128,12000
-6.12085,14.62086,41878
-8.23619,19.52566,26577
-9.14583,18.04453,55000
-8.47825,14.7902,4904
-8.73204,15.37124,34000
-8.57848,13.66425,55000
-9.78333,16.43333,52220
-8.16263,14.11663,20913
-8.18812,15.37495,21767
-9.14692,13.41936,652270
-9.08981,15.95382,9000
-8.29968,14.34494,16093
-9.42102,15.74668,39302
-8.7798,13.37478,146867
-5.23864,12.14428,15000
-5.56198,12.19476,550000
-8.67417,14.797,30537
-4.76667,12.55,40953
-4.65,12.76667,24430
-7.81165,13.79888,10648
-8.47175,13.37011,75000
-6.88831,15.01522,12000
-9.57499,15.99442,70481
-7.84632,13.10784,11640
-8.5675,13.47639,66202
-8.83796,13.28399,394170
-8.86639,13.26173,655796
-8.93611,13.26518,667094
-8.91783,13.18562,500000
-9.55833,16.14639,13217
-16.7444,14.97494,35000
-12.23333,15.55,36661
-11.35669,15.11719,10970
-15.727,12.94961,42607
-12.96121,15.05958,21809
-11.41237,14.30663,47421
-15.80394,11.84485,46573
-11.20605,13.84371,205832
-14.81909,14.53504,23014
-11.46667,14.13333,13726
-10.73366,14.97995,27128
-10.73251,13.76844,91605
-17.06667,15.73333,121537
-11.47512,16.96496,18000
-15.19611,12.15222,255000
-11.83268,16.23613,21662
-14.6585,17.69099,251178
-14.73272,15.03479,78000
-10.73912,17.71766,69420
-11.78333,19.91667,273675
-14.91717,13.4925,600751
-12.90795,15.24845,92103
-12.23712,15.31697,17000
-12.3644,13.53601,393079
-12.38333,16.93333,355423
-12.56598,16.22589,120677
-16.6864,14.90317,35985
-12.77611,15.73917,595304
-13.01592,14.63502,65000
-10.85147,14.37993,116903
-12.67889,15.50556,82541
-11.05,14.71667,10000
-12.95167,13.1025,25000
-13.78333,16.71667,7514
-12.23333,16.78333,11812
-12.15,18.08333,19995
-14.64978,16.89929,15000
-12.31261,14.1265,18451
-13.03865,14.2455,90367
-11.10862,14.33621,21260
-13.57418,13.94062,12000
-13.55,16.63333,25000
-12.16667,17.33333,7677
-13.81419,15.79041,10000
-12.55708,16.33805,26811
-11.95,14.46667,32013
-14.13333,14.91667,9428
-15.18315,13.69909,10000
-11.42173,15.12345,90000
-12.43002,13.54677,95034
-12.15,17.28333,28831
-11.13333,14.46667,21260
-14.11382,13.24061,66112
-10.07531,17.55058,17212
-12.01667,17.48333,59000
-13.86667,14.43333,31000
-10.00055,14.89519,44000
-11.32281,16.19588,15000
-13.46667,19.61667,9000
-17.88896,19.7706,8741
-13.02172,14.00283,14544
-16.28556,14.30962,70061
-13.73564,15.0618,15000
-10.14503,19.26598,13498
-12.8525,15.56056,130000
-12.47017,14.13688,164685
-14.7665,13.34912,10500
-12.57674,13.40268,555124
-12.35426,14.77232,108965
-12.60417,13.19667,107841
-11.48676,16.69663,50000
-7.46856,17.03769,17212
-8.7815,13.33384,728205
-8.60694,14.66701,6300
-8.7672,17.99572,90000
-10.19156,15.43408,29000
-11.39223,15.09201,90000
-10.89481,17.76402,17212
-8.86695,13.3344,882014
-12.40959,13.50349,9082
-12.30261,15.43358,5811
-8.84861,13.275,237528
-8.81806,13.22889,144911
-8.90552,13.22213,464985
-9.01212,13.38437,198538
-8.98007,13.30781,256066
-12.92651,14.09888,14544
-13.77395,15.09111,15000
-8.82644,13.26285,190569
-8.88001,13.19617,364986
-8.78883,13.27506,177808
-12.58997,13.39123,240075
-8.83411,13.29517,428855
-8.19239,14.47169,2928
-8.69335,13.44914,158068
-9.06259,13.0456,323576
-8.80523,13.2897,642050
-34.09584,-59.02423,99061
-29.02831,-58.9123,2114
-29.46907,-56.81837,2124
-25.97337,-54.56304,15529
-33.71381,-58.65844,3988
-34.57973,-58.46829,22500
-28.48726,-59.35421,19101
-31.66503,-59.89969,7101
-32.39837,-58.74607,1526
-34.67907,-58.47263,114000
-31.23097,-59.98464,5375
-31.86767,-59.02701,32027
-37.26394,-56.97304,23257
-26.62272,-58.66983,1261
-32.1632,-58.40082,9334
-34.5108,-58.68059,43405
-30.7957,-57.91234,3488
